,modzcta_name,percentpositivity_7day,people_tested,people_positive,median_daily_test_rate,adequately_tested,daterange,biden_margin,pop_est,rate_per_100k
11356,College Point,7.44,524.0,39.0,385.7,Yes,November 23-November 29,0.20242855027395235,23362,23.848251739699386
11357,Whitestone,4.52,1017.0,46.0,467.5,Yes,November 23-November 29,-0.09632648240018898,39902,16.46892028326543
11358,Auburndale/Murray Hill,5.63,959.0,54.0,394.2,Yes,November 23-November 29,0.13158529719295425,37190,20.742903238197673
11360,Bayside (North),2.69,520.0,14.0,404.3,Yes,November 23-November 29,0.20608449565393167,19621,10.193160389378727
11361,Bayside (North)/Bayside (South),2.68,635.0,17.0,386.8,Yes,November 23-November 29,0.1991769547325103,27246,8.913497131951218
11362,Douglaston-Little Neck,5.47,439.0,24.0,325.9,Yes,November 23-November 29,0.19205450975863264,18721,18.3140400009157
11363,Douglaston-Little Neck,0.53,190.0,1.0,490.0,Yes,November 23-November 29,0.177900892582333,6952,2.0549071181982574
11364,Bayside (South)/Oakland Gardens,3.59,892.0,32.0,442.7,Yes,November 23-November 29,0.2560383167978105,36806,12.420335193796044
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,5.25,914.0,48.0,333.2,Yes,November 23-November 29,0.31682505688662826,44983,15.243854027394475
11366,Fresh Meadows/Hillcrest,6.89,363.0,25.0,387.1,Yes,November 23-November 29,0.17447213843467219,14650,24.378352023403217
11367,Kew Gardens Hills/Pomonok,3.6,971.0,35.0,373.7,Yes,November 23-November 29,0.02172279013830425,41824,11.954858454475898
11368,Corona/North Corona,6.32,2296.0,145.0,357.9,Yes,November 23-November 29,0.5457155369568392,112425,18.424981733854313
11369,Airport/East Elmhurst,8.37,968.0,81.0,550.1,Yes,November 23-November 29,0.586745381832032,34118,33.91590530344268
11370,Jackson Heights/Rikers Island,6.34,710.0,45.0,405.9,Yes,November 23-November 29,0.3729369074095751,32514,19.771702739039885
