,zip,modzcta_name,pop_est,biden_margin,End date,positivity_rate
68,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/07/2020,1.6
69,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/08/2020,1.53
70,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/09/2020,1.87
71,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/10/2020,1.67
72,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/11/2020,2.33
73,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/12/2020,2.62
74,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/13/2020,2.66
75,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/14/2020,2.87
76,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/15/2020,2.85
77,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/16/2020,2.72
78,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/17/2020,3.13
79,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/18/2020,2.62
80,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/19/2020,2.27
81,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/20/2020,2.2
82,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/21/2020,1.99
83,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/22/2020,1.8
84,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/23/2020,1.78
85,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/24/2020,1.54
86,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/25/2020,1.6
87,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/26/2020,1.64
88,10001,Chelsea/NoMad/West Chelsea,23072,0.7312088673363353,11/27/2020,1.76
